,price
51607,30444
32811,22889
71553,29000
63658,7510
4271,11281
48200,36990
50961,14433
59096,20945
73141,10999
31208,31980
11959,9500
58916,23999
64876,30480
56670,13990
57706,14274
14872,13000
43867,16450
67232,15390
7956,13949
18596,9191
44856,15000
40725,8225
12876,13595
56663,19798
22715,15000
31256,9463
34318,13895
18714,19799
33534,20750
16094,14798
39871,9699
6495,14732
6305,8998
66875,14850
36834,22495
13473,9495
19035,61700
5978,12495
452,14500
32090,13940
38323,35999
73318,17520
57748,19000
34818,11955
17510,32300
71947,15998
35452,13000
48987,16495
20779,11995
58292,12495
54388,13995
20345,10400
39477,14489
30744,21490
4637,15000
22628,11995
2084,10000
10278,40349
40301,28350
75808,17200
23554,10950
28917,8380
1678,8990
19670,9995
29959,19999
32132,18999
8669,22500
1620,12995
44035,7000
16572,16998
29049,17999
14832,11995
65258,15295
12952,4995
40007,8250
42473,14498
61594,7930
62879,12970
19107,12900
35923,11999
23568,19999
43745,12800
25275,21691
23919,17992
69460,15499
52831,11298
68768,13800
47808,45595
68254,12000
32937,9700
39159,9625
35161,32990
5422,31399
17214,18995
47264,9995
66210,7900
58534,53990
48369,24989
46628,8000
13785,10699
65800,21990
58178,20091
73501,18435
56809,29399
11254,27994
62958,7480
12960,20570
73409,10495
47547,7299
22649,13999
52327,8698
65410,38695
72381,17980
75402,9980
70606,21490
35498,13495
13845,12398
55242,7998
19421,23800
60605,7910
75775,45490
20448,19712
42950,41999
61116,11495
34892,45995
507,15500
10188,15998
2542,7995
47265,18698
63885,12799
27475,9680
11251,24950
44252,17498
46964,8895
36874,14795
75506,24791
36195,13862
67208,15990
17238,11298
59266,16190
59925,23499
34863,26990
9887,6500
39456,22000
34436,6190
51256,14990
27603,12990
42268,10625
15358,22980
10186,7495
53590,22290
68468,5640
68899,27780
46851,29549
62635,13998
28273,7259
49002,13200
37154,21570
35212,13599
14181,15990
50997,17498
47899,26950
2533,11998
9336,11850
28867,13495
46021,14490
24001,10500
37100,28795
5572,14750
68735,9452
57245,26500
3580,11999
50120,20691
36534,8500
67901,15000
12488,9750
32831,13800
67544,69000
14313,14500
19314,21575
33951,9995
32217,8400
20936,11498
1369,21490
52012,21755
31678,7450
39725,33995
15554,18500
37312,9906
11415,34450
660,8295
34914,13995
14889,8649
54674,10799
31683,14490
74475,16598
40406,9798
6245,12995
63905,8520
22734,11491
14777,25200
29787,21928
42496,11795
61441,7391
15077,14990
6484,24498
56856,9541
7445,6950
28134,6399
50674,6730
57099,18995
45550,34950
59526,23947
69755,14500
48756,18790
56828,14999
44200,10797
38196,7199
49226,26890
6318,17250
66709,44500
54861,13150
58996,21990
67802,13291
14436,8200
44905,29000
70746,16995
49716,24490
59772,10800
71675,32500
56903,9850
16711,4795
46605,21990
44395,10999
23780,10990
23240,34498
74420,15798
42877,10490
13317,26780
62073,10498
72654,23206
62024,16991
17749,11490
33451,1495
52520,12299
28055,27750
62648,17990
56124,12495
68544,6940
11384,16500
62232,12000
45861,11999
40427,9990
13009,6960
57110,15900
18841,9235
11077,19779
2778,22792
64798,13995
56019,15000
25829,25988
12656,10499
52182,24789
73014,12371
14923,7500
20580,23946
29083,7998
46321,19000
70645,10289
38759,6091
31626,10995
5438,10490
31179,26499
54097,15498
73448,4500
39120,18199
46389,14500
74418,24775
8924,13500
14417,10998
47439,14900
45812,6500
60822,31980
13632,35750
43204,10998
44088,13491
24825,21750
70471,15219
4114,31825
74449,14050
18254,7999
35543,7995
9920,13498
48774,10300
64389,8471
21332,17995
52583,33236
3715,8500
67915,21500
3414,12800
56289,51950
12804,12000
11745,9995
40085,36995
16123,15500
53549,6495
31880,12450
39016,13995
26998,25499
13348,16490
5662,26599
21318,11500
36256,13899
57334,11250
9836,18312
14219,20180
765,10990
55691,9900
37243,26490
31051,15991
28741,13295
10606,15000
61060,11480
41694,3490
67287,28993
73583,19980
10540,21211
64532,29999
3833,12299
4551,10998
58315,7295
10373,18999
41627,9195
66943,10500
2530,9998
36547,11995
2740,13810
63117,11400
689,20066
40610,13495
3417,9580
25801,21250
9857,17500
36208,8498
74091,17911
10882,9000
35151,57599
26511,10698
43325,8298
63715,26990
30343,24999
9487,14000
45928,9188
61373,8540
39753,15299
41942,15498
44791,34985
60691,26999
44270,2895
44997,21832
2724,7250
73218,22995
36373,6990
13246,17995
23680,14199
26976,19741
18932,17462
45623,11400
634,14950
15321,31991
17907,30980
46957,7998
71878,16499
47135,11290
31544,21498
75914,12400
15560,13965
61790,17700
30699,5000
39963,11698
37011,12290
7794,8995
56731,11498
75554,12391
14083,16990
34734,12700
74601,7000
15123,16998
22350,7395
37052,8600
2625,14640
25684,17495
60742,21998
4794,16295
74897,29998
65120,14990
4331,25990
21869,32993
72376,18600
43755,15470
42564,5700
38703,14995
18209,17799
43321,17999
33505,39995
20554,8855
37651,8990
4029,13999
63755,13495
55720,12500
25853,11499
75193,25799
7982,8498
13958,9990
9940,9999
52894,14550
36957,10495
61796,11399
69480,30919
60326,19549
5094,21000
51787,6925
24998,5790
47049,13750
18418,25480
16835,8417
11884,29998
12028,58700
56615,10790
25191,12600
62425,9436
60891,6290
73804,12995
35703,32450
33724,15325
75149,19082
39239,48155
39210,8995
48537,9633
75724,11500
698,8995
52673,28939
19352,18990
12723,9990
49431,19000
75846,6850
19974,16000
42487,16990
23500,27990
40875,14298
71715,5995
37384,18899
54899,11930
69628,38500
37146,16300
43468,17194
60541,9395
1466,6100
54476,2300
11356,12300
74942,41495
52236,30995
22020,8800
53216,10170
58046,28995
71658,9998
64028,11990
51690,12290
66219,21500
26280,7640
23410,10890
60225,11699
36390,18979
45294,25899
36911,7500
57158,25000
43905,9627
6013,17995
30111,19500
11088,12250
49693,10995
51181,21995
59436,14280
7210,9999
5573,10190
58714,26990
52863,8290
21375,7490
12753,31214
33682,11850
70582,29950
13692,12995
32506,12955
62845,10500
12955,17991
74342,10799
46489,16990
35539,17822
52845,12000
47206,9700
14944,51990
61853,14590
19250,10997
63753,9450
41510,24495
47940,20795
7518,9500
52730,14500
26560,27998
56304,18211
35957,8190
10711,20000
70004,13995
34703,22490
54795,11533
32136,10999
70773,20495
28216,7990
6071,16698
42197,12500
38446,10495
14113,18900
36482,24000
40121,11489
10170,7549
58885,20595
72992,39890
30825,16780
45213,9995
58616,8299
20430,9850
55355,13998
60273,6892
64375,11762
54559,28895
60574,9999
66872,21498
73785,20995
44366,28445
65261,12950
18694,6199
2412,5890
32686,7490
35832,11995
23865,14371
52448,9280
70287,8795
30735,13498
21083,25980
19493,9298
59605,24495
14643,9495
8001,15481
34407,23950
44512,13919
51669,3350
67317,49499
26739,19995
63161,38990
16718,49980
52308,10500
44778,12471
74691,10995
38187,14998
19638,21700
71846,10400
58627,11000
16125,16592
27163,9020
16345,14960
34754,57799
28103,23444
60524,9999
46773,41989
5063,9498
57392,14990
31781,17999
13562,16000
23956,21995
8898,18960
65811,16991
36836,11995
71380,16190
20958,16750
18691,9742
19189,16490
29109,13998
72808,17998
31791,29450
1420,46950
43018,12200
9660,10500
2560,19498
57929,9795
60253,7299
40328,6980
62225,18599
75622,17999
2961,12995
55341,9650
43337,20500
71438,27990
22836,4799
668,15642
75171,7990
36595,7150
7338,16950
35251,9450
66473,6401
49429,16495
17420,8150
47307,13995
54098,23991
17829,12990
49761,20480
70968,9450
41830,19600
10290,16000
73209,8491
1432,18980
46984,12255
19238,32490
41699,10350
23520,14985
43972,16899
11783,18200
49638,8400
36186,15800
70450,14990
17858,20998
67159,15999
2311,25000
57958,20980
60196,15490
9695,21496
54879,26490
45867,22900
74677,24799
31983,9602
26352,18610
69904,11000
40696,15349
38098,14307
38116,14499
24508,19499
8785,21450
55989,8989
42318,23491
66630,17581
52853,13930
7633,24400
31370,20950
73824,13000
54874,32305
18093,40991
7551,6490
70983,16499
47410,19480
56370,10495
30654,5990
39557,11350
28030,30298
38994,17000
53267,7649
27420,24992
19205,26000
49927,20550
40422,18950
30674,17000
54126,10999
70758,13925
9679,17999
8195,19950
66012,16499
56657,17000
71378,10499
34652,23495
61218,22110
12410,12298
26395,32888
28890,12498
26493,51990
46866,20990
69450,21900
19023,21972
19902,17950
48637,8180
39472,23750
61043,15771
45127,10950
6380,18495
55665,17999
27334,10495
18112,18349
74326,11995
50492,23685
50289,23996
56392,6890
50334,10998
67074,11995
52339,28995
30085,36995
69194,32850
26558,14995
1405,18875
35638,20990
63415,7995
11645,57950
33723,19290
27360,11000
812,9591
71311,8999
66573,13100
4126,5699
8189,20700
65820,10492
35700,13100
72406,14500
70534,16999
16783,13491
53403,12495
6848,8250
66846,10490
50560,9494
68410,11490
67105,16980
30957,18491
12363,22990
58448,12490
16832,9798
43822,9995
71915,21995
42645,6998
2568,11298
49981,31950
68787,27998
62590,34000
57709,18991
21574,11000
45317,17120
35362,8999
68760,7495
17353,30899
73582,14990
38458,53699
61489,17520
53693,13499
53761,17600
35719,9995
35239,25495
49027,14995
52065,28199
699,13400
23875,36791
15401,10450
71350,12995
28036,14791
19768,24495
20453,7495
11767,36850
55407,15991
15140,9495
7542,54890
51743,8195
22555,6995
32394,13199
42974,13950
43971,23490
72847,7295
15842,15591
30226,14555
71087,10730
10337,24850
645,23509
47828,9495
45279,12495
13437,8750
21957,14510
1934,9980
60594,109990
75631,8000
10198,6599
55366,9495
64675,10399
42036,14495
51286,14998
11467,29490
21220,17498
70783,18890
25550,16198
6389,17200
7106,16995
1900,9985
63602,7799
30500,26700
58590,29999
48835,13800
72421,15500
34772,8495
21813,6490
54401,7500
877,56980
74157,22175
62718,6995
1569,26500
23630,16440
48188,11600
43663,6395
32794,10250
53372,16699
15486,22850
26067,19250
35158,29770
22331,10498
73290,29450
49487,7495
32142,27999
72248,24791
46226,14990
23645,9995
68478,30500
64357,8998
19923,25800
74416,13500
71984,6630
57594,8498
64809,18899
68814,13991
68229,8991
67488,8500
25951,10200
65091,10750
46312,35990
70949,13995
28836,16500
36266,21998
65753,19723
35607,10191
40303,16899
13759,5699
4496,25985
65997,8999
57730,38990
69174,11890
41175,26995
58507,18990
66787,4611
64426,13895
52324,14990
69258,15900
59261,21172
68255,12298
61501,6995
68972,19495
17987,15465
50888,25995
1718,61854
42484,15180
19441,44987
68774,30950
55825,12399
15742,19199
48932,18998
21309,23995
51753,5995
7164,7991
71851,23495
50114,19399
8394,26356
6536,5000
20986,19000
51727,19090
32712,9703
6802,19295
75917,33998
11085,8800
42544,42970
47985,16000
61511,20450
62589,16990
71651,14689
72931,18990
54235,15440
74239,16495
49575,28945
22873,10499
60593,9310
54939,16840
67861,18490
64589,10695
10945,22480
68347,35049
55164,21133
20797,11000
19954,9449
29736,6028
32973,45250
17349,15699
75313,8992
68846,10898
70138,25999
14334,16890
26391,13980
57915,18896
55579,12495
34256,31991
14767,15395
36181,13795
29300,11995
63194,13999
43572,24695
2242,7096
68011,7999
37347,19990
3129,7960
55799,18000
40526,13799
34529,9160
13497,16990
44218,20990
17934,15000
30930,9200
7812,15497
19292,20998
11527,12295
57785,9450
61245,10995
9794,16590
44042,41990
36870,16400
12450,12450
2234,11999
69265,32790
41905,12495
45838,19743
45200,12250
68119,23240
406,20995
60469,10990
4161,9999
4198,7500
13918,12300
56618,35980
71669,7390
75696,18290
33556,6826
59248,6195
237,13500
33541,15299
67455,9900
26279,9640
8217,22500
41628,7998
44047,22993
40739,18999
10556,37540
61752,21712
16755,12955
66784,12600
12679,15995
52844,12498
49871,27995
38985,10590
23647,8600
12980,23990
8580,17995
51233,9343
33277,8695
36577,31990
61428,16400
42135,32990
66667,14995
69686,21895
21087,33991
31013,8895
57228,7999
73699,45995
45239,9000
33470,21290
73769,21650
12934,31290
43768,32250
23512,17300
12077,13698
22673,9495
17336,5889
30556,45640
11360,14499
33636,9990
52534,10881
57463,18391
11495,20500
27913,16720
17070,35990
38916,18200
16870,12900
68928,10495
61656,10750
27315,26695
22403,17725
74521,4500
20643,10180
41128,24490
52251,22990
52653,11375
6834,25599
75222,14578
20587,19998
20429,10750
61658,12295
75295,22500
36090,42162
40652,11600
54044,20980
27782,7995
4235,11110
48257,26625
31926,11998
57039,6495
210,21999
59223,15900
52024,5631
35630,25590
49330,11850
73161,13850
52945,10500
4953,8200
73342,25750
32964,31980
6179,14998
18494,9899
43921,23549
5633,26850
50270,13500
20789,19100
71971,2795
23729,10800
19351,7995
42960,12999
66873,24999
54601,14295
39570,19656
89,7099
34929,8299
32739,7998
21619,5995
43315,16700
51693,30990
40815,13990
15017,10498
56244,16700
19502,13894
20532,8250
30088,7030
46493,11490
55312,14399
63865,9950
6313,25890
35672,17798
41875,13950
23323,30916
54278,11995
70276,10990
6970,8790
1183,38000
41042,79991
9859,17630
31292,18995
30033,10298
61696,36950
62452,12120
46302,8391
16693,23089
44909,19995
7040,9498
66366,27480
74318,20352
64356,13990
55650,14995
3970,6991
33897,10495
24205,20990
40214,24600
35207,9647
10687,8500
9059,19785
11119,5398
71909,17490
37770,31000
1800,26990
35979,16499
45173,14990
44117,20490
29835,18125
42357,9791
70319,12780
24669,27199
44862,15495
64835,18700
13509,30000
32247,13998
8839,4950
45360,19160
8767,7000
26984,18999
24274,9890
6893,14150
10906,19990
52476,9699
44384,8788
43725,10750
55411,24990
10080,12698
47184,24590
75526,23500
45407,18000
43660,5791
58266,10991
22487,26888
55582,5500
49889,34000
49735,8500
13198,10591
5077,8499
58225,6500
58256,10695
25840,13990
7569,1999
25034,10492
41795,26995
9664,8989
43366,34998
49940,11699
44645,49500
38397,10000
16468,16995
59606,19024
18995,10498
41816,6299
68038,22706
33557,47000
26941,19895
38634,4499
42618,8500
69707,14995
75303,16747
21346,18058
33328,34495
74676,7995
34286,9698
51587,26998
43753,11450
18389,9210
5128,26430
73696,29999
58435,4950
69861,31980
42387,12495
29584,25490
16416,31441
47590,10995
75043,7475
73675,32000
73963,9400
2300,21000
36659,18299
14305,6160
54333,19300
53806,13998
68777,6250
37541,15760
16801,5450
61592,9000
7726,19899
2939,22480
49685,12498
5605,24999
27582,7999
20688,16040
67153,11990
7136,21798
70740,16000
7432,12998
62510,18890
58119,15600
6175,10000
21823,8995
74494,21699
51231,13995
1876,10000
33809,7250
47477,9291
55800,35562
28047,27700
52912,6700
29397,7995
71304,14998
25079,8495
73849,26249
31532,8780
24607,57995
35082,9292
34109,12790
50236,26890
6557,15990
43618,9595
3537,1200
9584,21000
64252,16950
38020,12495
45019,26496
10487,13800
26729,25000
49372,12491
61005,25599
58506,20490
11593,12379
13441,29199
50296,21290
46949,13977
27466,8771
50910,5995
28676,7991
36689,12990
25866,12995
20493,16780
38974,13359
25682,14900
56273,18950
52189,20998
2508,7760
24383,11290
51301,11498
31545,21350
35105,9700
31298,9000
534,53990
13031,12250
13375,26830
53936,8999
3064,16400
46421,16280
64404,16800
33080,20685
47169,23399
65830,15999
29171,7991
10995,24490
57286,11495
57975,21996
71027,8250
20285,10850
22972,17540
69241,11020
30919,19406
12845,17250
31365,18200
73494,10298
10861,21980
18766,21459
59009,11400
59884,20498
28021,9831
65429,15770
68488,15699
50691,42990
23715,15718
68738,23489
36093,19980
9888,11899
19864,13291
41892,7750
62339,15750
11529,36845
65835,8999
54828,22590
9279,12380
47052,6298
7431,18698
9591,18195
33737,9299
37864,9490
55393,17250
59781,11525
13283,10499
60799,13042
15219,17700
46119,9995
8460,5791
53220,24980
24369,13439
43740,49991
1513,11498
29728,33999
30469,14540
21453,17950
47759,12495
15411,13795
52884,11495
75428,17865
31118,8990
33644,14791
15301,30480
44133,6800
24727,22999
27402,23900
14127,30000
31794,12498
70049,9490
32120,7000
57564,17999
28173,21699
75231,16989
31316,18990
27870,12998
37075,7995
52858,11600
17237,19200
27883,17990
9113,5000
65727,10199
1298,7299
31018,8698
24158,27450
22952,15998
72720,12995
30600,12550
73698,17800
41660,10260
62281,15999
55017,27980
75744,17990
32930,11000
9924,19849
29307,7792
65768,16995
3255,24995
32766,9990
18149,22998
30865,16620
16033,13500
76,6500
9853,1990
5016,20000
37121,19990
50462,16991
30656,9990
27591,4995
31836,28498
26475,13875
14025,11450
20968,19500
52386,17200
59962,8900
52901,16498
8663,6000
30886,28485
52606,11998
17247,28332
24892,5991
70792,11000
72511,20250
4840,1190
46343,13995
39907,10999
9011,18991
68375,16000
54474,21999
34251,11250
37470,1995
24752,18588
42362,25495
6620,36995
56332,11990
19070,12485
62981,19998
4144,14250
25445,11491
23878,12495
910,13700
65423,23999
9421,6589
35886,25016
40938,17790
24559,16990
11195,7688
16826,7291
35168,10471
70300,15940
71156,21995
14652,11000
42274,23698
14830,23191
2337,16500
40031,15998
55741,19773
37257,8990
43203,21850
53399,8991
52970,7750
74578,29450
4493,14485
63116,9939
48738,9495
7822,14312
38351,45498
22415,7401
28437,13490
376,10500
65652,3918
41458,20990
45403,25491
67785,15500
45529,29500
54877,4295
11734,13998
46360,6750
9,15300
26175,29250
6189,14995
52667,15950
22054,13999
8808,11200
53365,24490
73778,16879
50663,25449
8220,14500
34207,14199
54093,17650
19113,7000
68509,24490
21577,6571
57933,33000
61825,16950
66345,9301
617,11980
60051,24690
74347,10965
54792,9850
15340,19499
31032,26490
74847,30799
7416,12700
51031,20275
15227,9698
7408,11500
18130,16999
41144,4495
64072,8500
55858,17498
45161,27900
46102,29950
5372,11500
71586,19490
70109,25299
43903,6295
44064,19500
63781,10210
2927,37500
9092,19950
18967,10490
38941,29500
37402,22769
71014,37999
18355,13340
17902,11599
66536,19480
62822,27990
40446,18591
43050,25780
13711,18495
62800,15999
50995,19990
31640,10450
17488,13495
17130,8971
53293,8600
52615,13495
42972,8350
64132,24500
58704,19000
60624,12499
44313,10995
42238,10000
50809,7250
31093,18990
72643,50990
72055,9400
73820,16750
49000,12998
67070,8000
8184,13498
69029,13333
7121,29000
44608,24291
47560,10141
38728,15000
53446,11997
46925,11645
12576,20390
728,19300
2253,10498
50907,11499
58012,24490
73223,15498
72560,29990
33390,15995
52587,12499
51267,19989
31315,12999
63891,21750
49362,23000
25074,45990
65118,11399
35991,16850
9727,46500
21687,7000
16707,7498
4365,9995
47613,15000
21598,25995
44307,15450
62166,11995
63779,19444
39106,15450
75381,12999
4150,29000
35331,22450
55102,22000
10915,16699
58004,29991
27229,9490
255,10495
8022,17495
1965,10891
36119,11495
73845,5805
15512,6991
57742,11350
25947,23444
37804,20650
30245,9295
57514,14140
8143,7755
43086,10650
25502,16355
54961,9798
2681,9960
47362,15999
73164,29900
71429,7798
56667,23499
25080,13995
34282,11000
45241,18481
70976,6990
66269,27190
32902,10490
62071,15991
46223,14722
30626,18099
41443,20891
37879,28945
15880,16862
68924,13999
35424,31650
45676,11399
6655,16490
32413,18690
25283,16732
11821,22225
27718,8125
18247,11949
75238,15490
43279,9500
6612,16300
40157,7799
34867,27999
19901,9471
18202,16498
60850,8947
47133,31480
53124,19990
10062,14698
37692,8700
18546,19499
74333,48980
14016,39990
55054,23450
2091,6620
41766,9990
20226,7990
61907,9995
42859,14698
30835,19990
544,15999
7502,10465
62410,15800
68457,15798
57634,7600
64114,8500
65269,7920
67550,18992
52812,13990
3382,11000
68836,49980
26624,10600
26286,13898
47854,20791
26357,6830
1529,8480
64181,19400
4818,17980
64382,28320
10626,9500
62283,7397
7440,7590
1976,9995
13032,11977
75230,7795
35415,20950
32104,17750
53732,17599
16451,10500
75926,18910
65578,6299
34746,13799
2221,26490
23293,6670
2603,7888
66632,7199
2175,17995
31987,19190
48818,9450
73694,11498
33555,8630
9804,11697
58228,18992
10570,6950
68236,20000
29594,9298
67730,16500
39297,26972
61281,9351
46650,9995
61867,12295
54794,25500
32188,24680
2329,29980
23786,5995
66353,19499
69231,16499
68060,13970
4192,20998
50635,15999
61785,14980
66668,22750
63355,11650
69097,23000
3347,9995
50952,18990
65289,40980
7103,22950
33491,17995
55760,22305
8850,12490
68082,11495
48462,7495
28152,4090
73573,28082
65852,2485
74695,13900
48921,10699
41769,41399
4649,12750
29204,8995
49984,18199
56738,6988
64277,7200
71528,12998
4277,35945
10249,9495
5507,14498
11342,9495
30426,7699
54793,22690
29569,29990
72172,18000
3305,27810
58410,15990
64182,16490
19063,8498
24934,25102
918,12990
49292,6891
11284,10515
37775,9265
61802,7995
17575,14298
9546,17490
69702,1995
46590,17495
33892,7497
64457,47480
23470,29995
51837,26140
10727,6998
32134,30181
55471,12995
16213,8998
37531,8750
70322,11690
50929,36890
66786,10499
38856,5180
62856,12000
50142,19999
20956,20990
37037,10997
65717,16295
25358,5495
9762,8290
40432,7530
53619,8999
41157,7495
51671,18950
6800,14510
11114,13995
14870,14785
1250,12798
64207,9990
46806,17250
38346,9500
4335,9580
8028,25498
44644,18489
57061,24991
49635,26899
13068,9020
6768,7695
63412,19950
639,9991
21463,9290
44477,3995
52064,13999
40242,27995
8154,6370
30560,12648
25589,12000
26232,9150
23790,28349
57093,7200
14548,16494
13623,26000
57891,16200
25710,9495
8081,15381
43861,8990
18101,7995
48358,9990
66216,21488
61357,14990
48830,16498
37712,22450
41650,30299
73394,15090
6118,26990
40314,14497
49851,10000
46079,14220
48163,43082
14990,12380
61655,30480
53692,21990
70043,12999
54081,14490
64080,13980
23586,13441
40295,9490
41010,26799
28592,74319
17924,11998
26900,14500
50611,18490
23142,27999
45748,21990
54023,10490
35566,6498
60400,26922
42062,9695
65730,12991
11974,25000
69317,14499
67312,12995
36791,10550
57883,21998
33275,11000
5420,17584
63147,11393
39048,31450
19494,20699
51278,14995
41481,33000
67567,33799
32762,18400
410,14290
58077,34259
51281,17490
72393,19495
3334,22000
49692,9490
33485,15990
24768,37000
73854,16800
38102,15991
18146,18480
56797,7990
3432,28498
57985,25549
20105,9470
33910,14990
74045,18995
32303,11900
27703,16092
27702,10998
51643,4990
22477,21380
7475,27600
53628,29291
46584,59980
9390,11990
46035,14500
6965,9549
73707,11900
36944,17490
65201,13991
21023,5995
19154,8950
58331,12499
45458,9698
61736,13991
47923,21495
42629,40000
5101,24990
54768,29990
16440,9495
25929,22000
50143,10798
44684,9450
39508,9900
35202,13990
16758,21500
58605,7992
64084,7498
34841,10900
53482,9598
5611,22767
17256,7892
62579,16597
5540,16500
58809,8995
55246,15500
